Processor,Camera,phoneName,price,ram_memory,rom_memory,Display Size,battery
MediaTek Helio G80 Processor,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,POCO M2 ,"9,999",6 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,5000 
Mediatek Helio G35 Processor,13MP + 2MP + 2MP | 5MP Front Camera,POCO C3 ,"8,499",4 GB RAM , 64 GB ROM ,16.59 cm  HD+ ,5000 
MediaTek Helio G80 Processor,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,POCO M2 ,"9,999",6 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,5000 
MediaTek Helio G25 Processor,13MP Rear Camera | 5MP Front Camera,Redmi 9i ,"8,299",4 GB RAM , 64 GB ROM ,16.59 cm  HD+ ,5000 
MediaTek Helio G80 Processor,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,POCO M2 ,"9,999",6 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,5000 
Qualcomm Snapdragon 665 Processor,12MP + 2MP + 2MP | 8MP Front Camera,Realme Narzo 20A ,"9,499",4 GB RAM , 64 GB ROM ,16.51 cm  HD+ ,5000 
Qualcomm Snapdragon 665 Processor,12MP + 2MP + 2MP | 8MP Front Camera,Realme Narzo 20A ,"8,499",3 GB RAM , 32 GB ROM ,16.51 cm  HD+ ,5000 
Qualcomm Snapdragon 665 Processor,12MP + 2MP + 2MP | 8MP Front Camera,Realme Narzo 20A ,"9,499",4 GB RAM , 64 GB ROM ,16.51 cm  HD+ ,5000 
MediaTek Helio G85 Processor,48MP + 8MP + 2MP | 8MP Front Camera,Realme Narzo 20 ,"10,499",4 GB RAM , 64 GB ROM ,16.56 cm  HD+ ,6000 
MediaTek Helio G85 Processor,48MP + 8MP + 2MP | 8MP Front Camera,Realme Narzo 20 ,"11,499",4 GB RAM , 128 GB ROM ,16.56 cm  HD+ ,6000 
MediaTek Helio G85 Processor,48MP + 8MP + 2MP | 8MP Front Camera,Realme Narzo 20 ,"11,499",4 GB RAM , 128 GB ROM ,16.56 cm  HD+ ,6000 
MediaTek Helio G85 Processor,48MP + 8MP + 2MP | 8MP Front Camera,Realme Narzo 20 ,"10,499",4 GB RAM , 64 GB ROM ,16.56 cm  HD+ ,6000 
MediaTek Helio G80 Processor,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,POCO M2 ,"10,999",6 GB RAM , 128 GB ROM ,16.59 cm  Full HD+ ,5000 
Mediatek Helio G35 Processor,13MP + 2MP + 2MP | 5MP Front Camera,POCO C3 ,"8,499",4 GB RAM , 64 GB ROM ,16.59 cm  HD+ ,5000 
MediaTek Helio G70 Processor,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 10 ,"9,499",4 GB RAM , 64 GB ROM ,17.22 cm  HD+ ,5200 
MediaTek Helio G70 Processor,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 10 ,"9,499",4 GB RAM , 64 GB ROM ,17.22 cm  HD+ ,5200 
MediaTek Helio G80 Processor,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,POCO M2 ,"10,999",6 GB RAM , 128 GB ROM ,16.59 cm  Full HD+ ,5000 
MediaTek Helio G70 Processor,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 10 ,"9,499",4 GB RAM , 64 GB ROM ,17.22 cm  HD+ ,5200 
MediaTek Helio G25 Processor,13MP Rear Camera | 5MP Front Camera,Redmi 9i ,"8,299",4 GB RAM , 64 GB ROM ,16.59 cm  HD+ ,5000 
Qualcomm Snapdragon 662 Processor,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme 7i ,"12,999",4 GB RAM , 128 GB ROM ,16.51 cm  HD+ ,5000 
Qualcomm Snapdragon 662 Processor,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme 7i ,"12,999",4 GB RAM , 128 GB ROM ,90 Hz Ultra Smooth ,5000 
Qualcomm Snapdragon 720G Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,POCO M2 Pro ,"12,999",4 GB RAM , 64 GB ROM ,16.51 cm  HD+ ,5000 
Qualcomm Snapdragon 720G Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,POCO M2 Pro ,"13,999",6 GB RAM , 64 GB ROM ,90 Hz Ultra Smooth ,5000 
Qualcomm Snapdragon 720G Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,POCO M2 Pro ,"12,999",4 GB RAM , 64 GB ROM ,16.94 cm  Full HD+ ,5000 
MediaTek Helio G80 Processor,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,POCO M2 ,"10,999",6 GB RAM , 128 GB ROM ,16.94 cm  Full HD+ ,5000 
Mediatek Helio G35 Processor,13MP + 2MP + 2MP | 5MP Front Camera,Realme C12 ,"8,999",3 GB RAM , 32 GB ROM ,16.94 cm  Full HD+ ,6000 
Mediatek Helio G35 Processor,13MP + 2MP + 2MP | 5MP Front Camera,Realme C12 ,"8,999",3 GB RAM , 32 GB ROM ,16.59 cm  Full HD+ ,6000 
Mediatek Helio A25 Processor,13MP + Depth Sensor | 8MP Front Camera,Infinix Smart 4 Plus ,"7,999",3 GB RAM , 32 GB ROM ,16.56 cm  HD+ ,6000 
Mediatek Helio A25 Processor,13MP + Depth Sensor | 8MP Front Camera,Infinix Smart 4 Plus ,"7,999",3 GB RAM , 32 GB ROM ,16.56 cm  HD+ ,6000 
MediaTek Helio G95 Processor,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme 7 ,"14,999",6 GB RAM , 64 GB ROM ,17.32 cm  HD+ ,5000 
Mediatek Helio A25 Processor,13MP + Depth Sensor | 8MP Front Camera,Infinix Smart 4 Plus ,"7,999",3 GB RAM , 32 GB ROM ,17.32 cm  HD+ ,6000 
MediaTek Helio P35 Processor,13MP + 2MP | 5MP Front Camera,OPPO A12 ,"8,990",3 GB RAM , 32 GB ROM ,16.51 cm  Full HD+ ,4230 
Mediatek Helio G35 Processor,13MP + 2MP + 2MP | 5MP Front Camera,POCO C3 ,"7,499",3 GB RAM , 32 GB ROM ,17.32 cm  HD+ ,5000 
Mediatek Helio G35 Processor,13MP + 2MP | 5MP Front Camera,Realme C11 ,"7,499",2 GB RAM , 32 GB ROM ,15.8 cm  HD+ ,5000 
Mediatek Helio G35 Processor,13MP + 2MP | 5MP Front Camera,Realme C11 ,"7,499",2 GB RAM , 32 GB ROM ,16.59 cm  HD+ ,5000 
Mediatek Helio G35 Processor,13MP + 2MP + 2MP | 5MP Front Camera,POCO C3 ,"8,499",4 GB RAM , 64 GB ROM ,16.51 cm  HD+ ,5000 
MediaTek Helio G80 Processor,13MP Rear Camera | 8MP Front Camera,Redmi 9 Prime ,"9,999",4 GB RAM , 64 GB ROM ,16.51 cm  HD+ ,5020 
MediaTek Helio G80 Processor,13MP Rear Camera | 8MP Front Camera,Redmi 9 Prime ,"9,999",4 GB RAM , 64 GB ROM ,16.59 cm  HD+ ,5020 
Qualcomm Snapdragon 720G Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,POCO M2 Pro ,"13,999",6 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,5000 
MediaTek Helio G80 Processor,13MP Rear Camera | 8MP Front Camera,Redmi 9 Prime ,"9,999",4 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,5020 
Qualcomm Snapdragon 460 Processor,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,Realme C15 Qualcomm Edition ,"10,999",4 GB RAM , 64 GB ROM ,16.94 cm  Full HD+ ,6000 
Qualcomm Snapdragon 460 Processor,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,Realme C15 Qualcomm Edition ,"9,999",3 GB RAM , 32 GB ROM ,16.59 cm  Full HD+ ,6000 
MediaTek Helio G80 Processor,13MP Rear Camera | 8MP Front Camera,Redmi 9 Prime ,"9,999",4 GB RAM , 64 GB ROM ,16.56 cm  HD+ ,5020 
Qualcomm Snapdragon 720G Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,POCO M2 Pro ,"13,999",6 GB RAM , 64 GB ROM ,16.56 cm  HD+ ,5000 
MediaTek Helio P35 Processor,13MP + 2MP | 5MP Front Camera,OPPO A12 ,"11,490",4 GB RAM , 64 GB ROM ,16.59 cm  Full HD+ ,4230 
Mediatek Helio G35 Processor,13MP + 2MP + 2MP | 5MP Front Camera,POCO C3 ,"7,499",3 GB RAM , 32 GB ROM ,16.94 cm  Full HD+ ,5000 
Mediatek Helio G35 Processor,13MP + 2MP + 2MP | 5MP Front Camera,POCO C3 ,"7,499",3 GB RAM , 32 GB ROM ,15.8 cm  HD+ ,5000 
MediaTek Helio G25 Processor,13MP Rear Camera | 5MP Front Camera,Redmi 9i ,"8,299",4 GB RAM , 64 GB ROM ,16.59 cm  HD+ ,5000 
MediaTek Helio G70 Processor,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 10 ,"10,999",6 GB RAM , 128 GB ROM ,16.59 cm  HD+ ,5200 
MediaTek Helio G70 Processor,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 10 ,"10,999",6 GB RAM , 128 GB ROM ,16.59 cm  HD+ ,5200 
MediaTek Helio G90T Processor,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme 6i ,"13,999",6 GB RAM , 64 GB ROM ,17.22 cm  HD+ ,4300 
Qualcomm Snapdragon 730G Processor,64MP + 8MP + 2MP + 2MP | 20MP + 2MP Dual Front Camera,POCO X2 ,"15,999",6 GB RAM , 128 GB ROM ,17.22 cm  HD+ ,4500 
Qualcomm Snapdragon 460 Processor,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,Realme C15 Qualcomm Edition ,"10,999",4 GB RAM , 64 GB ROM ,16.51 cm  Full HD+ ,6000 
MediaTek Helio A22 Processor,13MP + Depth Sensor | 8MP Front Camera,Infinix Smart 4 ,"6,999",2 GB RAM , 32 GB ROM,16.94 cm  Full HD+ ,6000 
MediaTek Helio A22 Processor,13MP + Depth Sensor | 8MP Front Camera,Infinix Smart 4 ,"6,999",2 GB RAM , 32 GB ROM,16.56 cm  HD+ ,6000 
MediaTek Helio A22 Processor,13MP + Depth Sensor | 8MP Front Camera,Infinix Smart 4 ,"6,999",2 GB RAM , 32 GB ROM,17.32 cm  HD+ ,6000 
Qualcomm Snapdragon 720G Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,POCO M2 Pro ,"12,999",4 GB RAM , 64 GB ROM ,17.32 cm  HD+ ,5000 
MediaTek Helio G90T Processor,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme 6i ,"13,999",6 GB RAM , 64 GB ROM ,17.32 cm  HD+ ,4300 
MediaTek Helio P35 Processor,13MP + 2MP | 5MP Front Camera,OPPO A12 ,"8,990",3 GB RAM , 32 GB ROM ,16.94 cm  Full HD+ ,4230 
MediaTek Helio P35 Processor,13MP + 2MP | 5MP Front Camera,OPPO A12 ,"11,490",4 GB RAM , 64 GB ROM ,16.51 cm  Full HD+ ,4230 
MediaTek Helio G70 Processor,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 10 ,"10,999",6 GB RAM , 128 GB ROM ,15.8 cm  HD+ ,5200 
MediaTek Helio G70 Processor,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 10 ,"10,999",6 GB RAM , 128 GB ROM ,15.8 cm  HD+ ,5200 
MediaTek Helio G95 Processor,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme 7 ,"16,999",8 GB RAM , 128 GB ROM ,17.22 cm  HD+ ,5000 
MediaTek Helio G95 Processor,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme 7 ,"14,999",6 GB RAM , 64 GB ROM ,17.22 cm  HD+ ,5000 
MediaTek Helio G95 Processor,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,Realme Narzo 20 Pro ,"14,999",6 GB RAM , 64 GB ROM ,16.51 cm  Full HD+ ,4500 
Qualcomm Snapdragon 460 Processor,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,Realme C15 Qualcomm Edition ,"9,999",3 GB RAM , 32 GB ROM ,16.51 cm  Full HD+ ,6000 
Mediatek Helio G35 Processor,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,Realme C15 ,"10,999",4 GB RAM , 64 GB ROM ,16.51 cm  Full HD+ ,6000 
Mediatek Helio G35 Processor,13MP + 2MP + 2MP | 5MP Front Camera,Realme C12 ,"9,999",4 GB RAM , 64 GB ROM ,16.56 cm  HD+ ,6000 
Mediatek Helio G35 Processor,13MP + 2MP + 2MP | 5MP Front Camera,Realme C12 ,"9,999",4 GB RAM , 64 GB ROM ,16.56 cm  HD+ ,6000 
Qualcomm Snapdragon 720G Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,POCO M2 Pro ,"15,999",6 GB RAM , 128 GB ROM ,16.56 cm  HD+ ,5000 
MediaTek Helio A20 Processor,8MP Rear Camera | 5MP Front Camera,Infinix Smart HD 2021 ,"6,099",2 GB RAM , 32 GB ROM ,16.56 cm  HD+ ,5000 
MediaTek Helio A20 Processor,8MP Rear Camera | 5MP Front Camera,Infinix Smart HD 2021 ,"6,099",2 GB RAM , 32 GB ROM ,16.94 cm  Full HD+ ,5000 
MediaTek Helio A20 Processor,8MP Rear Camera | 5MP Front Camera,Infinix Smart HD 2021 ,"6,099",2 GB RAM , 32 GB ROM ,15.49 cm  HD+ ,5000 
Qualcomm Snapdragon 732G Processor,64MP + 13MP + 2MP + 2MP | 20MP Front Camera,POCO X3 ,"17,999",6 GB RAM , 128 GB ROM ,15.49 cm  HD+ ,6000 
