,Phone_Name,Processor,RAM,Display,Camera,Price,Battery
0,"POCO M2 (Slate Blue, 64 GB)",MediaTek Helio G80 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,"₹9,999",5000 mAh Lithium Polymer Battery
1,"POCO C3 (Arctic Blue, 64 GB)",Mediatek Helio G35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,"₹8,499",5000 mAh Li-ion Polymer Battery
2,"POCO M2 (Pitch Black, 64 GB)",MediaTek Helio G80 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,"₹9,999",5000 mAh Lithium Polymer Battery
3,"Redmi 9i (Sea Blue, 64 GB)",MediaTek Helio G25 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,"₹8,299",5000 mAh Lithium Polymer Battery
4,"POCO M2 (Brick Red, 64 GB)",MediaTek Helio G80 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,"₹9,999",5000 mAh Lithium Polymer Battery
5,"Realme Narzo 20A (Victory Blue, 64 GB)",Qualcomm Snapdragon 665 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,"₹9,499",5000 mAh Lithium-ion Battery
6,"Realme Narzo 20A (Victory Blue, 32 GB)",Qualcomm Snapdragon 665 Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,"₹8,499",5000 mAh Lithium-ion Battery
7,"Realme Narzo 20A (Glory Silver, 64 GB)",Qualcomm Snapdragon 665 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,"₹9,499",5000 mAh Lithium-ion Battery
8,"Realme Narzo 20 (Victory Blue, 64 GB)",MediaTek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,"₹10,499",6000 mAh Lithium-ion Battery
9,"Realme Narzo 20 (Glory Silver, 128 GB)",MediaTek Helio G85 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,"₹11,499",6000 mAh Lithium-ion Battery
10,"Realme Narzo 20 (Victory Blue, 128 GB)",MediaTek Helio G85 Processor,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,"₹11,499",6000 mAh Lithium-ion Battery
11,"Realme Narzo 20 (Glory Silver, 64 GB)",MediaTek Helio G85 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,48MP + 8MP + 2MP | 8MP Front Camera,"₹10,499",6000 mAh Lithium-ion Battery
12,"POCO M2 (Pitch Black, 128 GB)",MediaTek Helio G80 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,"₹10,999",5000 mAh Lithium Polymer Battery
13,"POCO C3 (Matte Black, 64 GB)",Mediatek Helio G35 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,"₹8,499",5000 mAh Li-ion Polymer Battery
14,"Infinix Hot 10 (Ocean Wave, 64 GB)",MediaTek Helio G70 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.22 cm (6.78 inch) HD+ Display,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,"₹9,499",5200 mAh Li-ion Polymer Battery
15,"Infinix Hot 10 (Moonlight Jade, 64 GB)",MediaTek Helio G70 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.22 cm (6.78 inch) HD+ Display,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,"₹9,499",5200 mAh Li-ion Polymer Battery
16,"POCO M2 (Brick Red, 128 GB)",MediaTek Helio G80 Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,13MP + 8MP + 5MP + 2MP | 8MP Front Camera,"₹10,999",5000 mAh Lithium Polymer Battery
17,"Infinix Hot 10 (Obsidian Black, 64 GB)",MediaTek Helio G70 Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.22 cm (6.78 inch) HD+ Display,16MP + 2MP + 2MP + Low Light Sensor | 8MP Front Camera,"₹9,499",5200 mAh Li-ion Polymer Battery
